姓名:stuent:1, 國文:69, 英文:69, 數學:59, 歷史:66, 健康:58
姓名:stuent:2, 國文:75, 英文:67, 數學:69, 歷史:51, 健康:81
姓名:stuent:3, 國文:66, 英文:57, 數學:72, 歷史:76, 健康:96
姓名:stuent:4, 國文:81, 英文:98, 數學:53, 歷史:62, 健康:65
姓名:stuent:5, 國文:98, 英文:52, 數學:67, 歷史:100, 健康:99
姓名:stuent:6, 國文:98, 英文:65, 數學:89, 歷史:96, 健康:91
姓名:stuent:7, 國文:55, 英文:56, 數學:88, 歷史:64, 健康:93
姓名:stuent:8, 國文:61, 英文:57, 數學:62, 歷史:69, 健康:60
姓名:stuent:9, 國文:88, 英文:71, 數學:84, 歷史:88, 健康:81
姓名:stuent:10, 國文:71, 英文:85, 數學:97, 歷史:54, 健康:74
姓名:stuent:11, 國文:92, 英文:51, 數學:53, 歷史:56, 健康:69
姓名:stuent:12, 國文:65, 英文:63, 數學:57, 歷史:59, 健康:63
姓名:stuent:13, 國文:97, 英文:61, 數學:59, 歷史:73, 健康:75
姓名:stuent:14, 國文:79, 英文:58, 數學:56, 歷史:90, 健康:82
姓名:stuent:15, 國文:60, 英文:94, 數學:97, 歷史:64, 健康:95
姓名:stuent:16, 國文:84, 英文:67, 數學:69, 歷史:62, 健康:89
姓名:stuent:17, 國文:97, 英文:68, 數學:62, 歷史:56, 健康:90
姓名:stuent:18, 國文:72, 英文:58, 數學:62, 歷史:54, 健康:85
姓名:stuent:19, 國文:73, 英文:99, 數學:65, 歷史:58, 健康:95
姓名:stuent:20, 國文:81, 英文:58, 數學:89, 歷史:82, 健康:86
姓名:stuent:21, 國文:99, 英文:68, 數學:80, 歷史:84, 健康:50
姓名:stuent:22, 國文:76, 英文:71, 數學:84, 歷史:66, 健康:71
姓名:stuent:23, 國文:53, 英文:63, 數學:91, 歷史:63, 健康:64
姓名:stuent:24, 國文:97, 英文:97, 數學:98, 歷史:81, 健康:74
姓名:stuent:25, 國文:96, 英文:55, 數學:84, 歷史:80, 健康:71
姓名:stuent:26, 國文:76, 英文:50, 數學:91, 歷史:83, 健康:94
姓名:stuent:27, 國文:51, 英文:100, 數學:90, 歷史:84, 健康:94
姓名:stuent:28, 國文:74, 英文:98, 數學:64, 歷史:99, 健康:75
姓名:stuent:29, 國文:54, 英文:71, 數學:70, 歷史:93, 健康:96
姓名:stuent:30, 國文:72, 英文:77, 數學:72, 歷史:69, 健康:83
姓名:stuent:31, 國文:91, 英文:59, 數學:75, 歷史:88, 健康:82
姓名:stuent:32, 國文:76, 英文:73, 數學:94, 歷史:94, 健康:57
姓名:stuent:33, 國文:61, 英文:66, 數學:82, 歷史:98, 健康:50
姓名:stuent:34, 國文:80, 英文:60, 數學:95, 歷史:58, 健康:55
姓名:stuent:35, 國文:84, 英文:66, 數學:66, 歷史:77, 健康:77
姓名:stuent:36, 國文:61, 英文:70, 數學:91, 歷史:66, 健康:66
姓名:stuent:37, 國文:96, 英文:51, 數學:63, 歷史:52, 健康:82
姓名:stuent:38, 國文:78, 英文:76, 數學:91, 歷史:77, 健康:87
姓名:stuent:39, 國文:76, 英文:74, 數學:59, 歷史:60, 健康:95
姓名:stuent:40, 國文:91, 英文:74, 數學:88, 歷史:96, 健康:89
姓名:stuent:41, 國文:79, 英文:92, 數學:64, 歷史:69, 健康:88
姓名:stuent:42, 國文:83, 英文:69, 數學:54, 歷史:97, 健康:72
姓名:stuent:43, 國文:72, 英文:76, 數學:62, 歷史:61, 健康:50
姓名:stuent:44, 國文:64, 英文:71, 數學:82, 歷史:55, 健康:64
姓名:stuent:45, 國文:62, 英文:61, 數學:91, 歷史:62, 健康:73
姓名:stuent:46, 國文:73, 英文:72, 數學:79, 歷史:87, 健康:85
姓名:stuent:47, 國文:95, 英文:83, 數學:72, 歷史:68, 健康:68
姓名:stuent:48, 國文:69, 英文:91, 數學:87, 歷史:77, 健康:96
姓名:stuent:49, 國文:61, 英文:73, 數學:89, 歷史:77, 健康:71
姓名:stuent:50, 國文:66, 英文:53, 數學:52, 歷史:51, 健康:51
